description,prix,code,marque,date
Coriandre,Fines herbes fraîches,1.48,20091825001_EA,None,2019-07-16 14:21
Persil frisé,Fines herbes fraîches,1.98,20015746001_EA,None,2019-07-16 14:21
Basil,Fines herbes fraîches,1.98,20299105_EA,le Choix du Président,2019-07-16 14:21
Sauge,Fines herbes fraîches,1.98,20304403_EA,le Choix du Président,2019-07-16 14:21
Persil italien,Fines herbes fraîches,1.98,20139141001_EA,None,2019-07-16 14:21
Aneth en botte,Fines herbes fraîches,1.98,20185183001_EA,None,2019-07-16 14:21
Origan,Fines herbes fraîches,1.98,20308318_EA,le Choix du Président,2019-07-16 14:21
Romarin,Fines herbes fraîches,1.98,20302329_EA,le Choix du Président,2019-07-16 14:21
Menthe,Fines herbes fraîches,1.98,20302008_EA,le Choix du Président,2019-07-16 14:21
Thym,Fines herbes fraîches,1.98,20314580_EA,le Choix du Président,2019-07-16 14:21
Pâte d’ail à ajouter,Fines herbes fraîches,4.98,20136773_EA,Gourmet Garden,2019-07-16 14:21
Basilic en tube,Fines herbes fraîches,4.98,20009533_EA,Gourmet Garden,2019-07-16 14:21
Coriandre légèrement séchée,Fines herbes fraîches,4.98,21004700_EA,Gourmet Garden,2019-07-16 14:21
Pâte de citronnelle à ajouter,Fines herbes fraîches,4.98,20188546_EA,Gourmet Garden,2019-07-16 14:21
Bol de persil légèrement séché,Fines herbes fraîches,4.98,21004586_EA,Gourmet Garden,2019-07-16 14:21
Pâte de persil à ajouter,Fines herbes fraîches,4.98,20183271_EA,Gourmet Garden,2019-07-16 14:21
Piments légèrement séchés Gourmet Garden,Fines herbes fraîches,4.98,21123462_EA,Gourmet Garden,2019-07-16 14:21
Herbes italiennes en tube,Fines herbes fraîches,4.98,20006854_EA,Gourmet Garden,2019-07-16 14:21
Basilic légèrement séché,Fines herbes fraîches,4.98,21004692_EA,Gourmet Garden,2019-07-16 14:21
Gingembre Légèrement Séché,Fines herbes fraîches,4.98,21004691_EA,Gourmet Garden,2019-07-16 14:21
Assaisonnement aux fines herbes,Fines herbes fraîches,4.98,20104914_EA,None,2019-07-16 14:21
Épinard,Fruits et légumes frais coupés,2.28,20959677_EA,le Choix du Président,2019-07-16 14:21
Poireaux tranchés,Fruits et légumes frais coupés,2.48,21005311_EA,None,2019-07-16 14:21
Légumes émiettés,Fruits et légumes frais coupés,3.98,21055170_EA,le Choix du Président,2019-07-16 14:21
Patates douces,Fruits et légumes frais coupés,3.98,20216819_EA,le Choix du Président,2019-07-16 14:21
mélange de légumes,Fruits et légumes frais coupés,3.98,20186654_EA,le Choix du Président,2019-07-16 14:21
Couper les légumes pour la sauce spaghetti,Fruits et légumes frais coupés,3.98,20140682_EA,None,2019-07-16 14:21
Légumes à Soupe,Fruits et légumes frais coupés,3.98,20135734_EA,None,2019-07-16 14:21
Fleurons de chou-fleur,Fruits et légumes frais coupés,3.98,21125710_EA,le Choix du Président,2019-07-16 14:21
Coriandre légèrement séchée,Fruits et légumes frais coupés,4.98,21004700_EA,Gourmet Garden,2019-07-16 14:21
Bol de persil légèrement séché,Fruits et légumes frais coupés,4.98,21004586_EA,Gourmet Garden,2019-07-16 14:21
Basilic légèrement séché,Fruits et légumes frais coupés,4.98,21004692_EA,Gourmet Garden,2019-07-16 14:21
Gingembre Légèrement Séché,Fruits et légumes frais coupés,4.98,21004691_EA,Gourmet Garden,2019-07-16 14:21
Mélange de légumes, chou frisé,Fruits et légumes frais coupés,4.98,21095404_EA,le Choix du Président,2019-07-16 14:21
Gingembre,Légumes internationaux,0.92,20179038001_KG,None,2019-07-16 14:21
Ail,Légumes internationaux,0.98,21004355001_EA,Rooster,2019-07-16 14:21
Aubergine longue,Légumes internationaux,1.09,20159013001_KG,None,2019-07-16 14:21
Ail à gros bulbe,Légumes internationaux,1.1,20135581001_KG,None,2019-07-16 14:21
Bok choy,Légumes internationaux,1.73,20095057001_KG,None,2019-07-16 14:21
Courge-bouteille,Légumes internationaux,2.05,20142055001_KG,None,2019-07-16 14:21
Manioc,Légumes internationaux,2.22,20087682001_KG,None,2019-07-16 14:21
Lobok,Légumes internationaux,2.65,20082109001_KG,None,2019-07-16 14:21
Pois sucrés,Légumes internationaux,2.98,21023553001_EA,None,2019-07-16 14:21
Patates douces de Jamaïque,Légumes internationaux,3.24,20130919001_KG,None,2019-07-16 14:21
Bébé bok choy shanghaïen,Légumes internationaux,3.28,20073098001_KG,None,2019-07-16 14:21
Bébé bok choys,Légumes internationaux,3.61,20082279001_KG,None,2019-07-16 14:21
Pois sucrés,Légumes internationaux,3.98,20712998_EA,Mann’s,2019-07-16 14:21
Ail,Légumes internationaux,4.98,20433866_EA,Rooster,2019-07-16 14:21
Salade romaine classique,Salades emballées,2.48,20305385_EA,Dole,2019-07-16 14:21
salade de chou frisé,Salades emballées,2.98,20960988_EA,le Choix du Président,2019-07-16 14:21
Salade de chou colorée,Salades emballées,2.98,20084126_EA,Dole,2019-07-16 14:21
mélange à salade de légumes-feuilles des champs,Salades emballées,2.98,20312523_EA,le Choix du Président,2019-07-16 14:21
Bébés roquettes et épinards,Salades emballées,2.98,21020913_EA,le Choix du Président,2019-07-16 14:21
Miniroquette,Salades emballées,2.98,20314039_EA,le Choix du Président,2019-07-16 14:21
jeunes épinards,Salades emballées,2.98,20305277_EA,le Choix du Président,2019-07-16 14:21
Épinards printaniers biologiques,Salades emballées,2.98,21020920_EA,le Choix du Président,2019-07-16 14:21
Laitue iceberg classique,Salades emballées,2.98,20137145_EA,Dole,2019-07-16 14:21
Salade de brocolis,Salades emballées,2.98,20961110_EA,le Choix du Président,2019-07-16 14:21
Pois sucrés,Salades emballées,2.98,21023553001_EA,None,2019-07-16 14:21
Salade Style Grecque au Poulet,Salades emballées,3.48,21158443_EA,None,2019-07-16 14:21
Salade César au Poulet et au Bacon,Salades emballées,3.48,21158232_EA,None,2019-07-16 14:21
Salade Cobb à la Dinde et au Bacon,Salades emballées,3.48,21158247_EA,None,2019-07-16 14:21
Salade Style Santa Fe,Salades emballées,3.48,21158448_EA,None,2019-07-16 14:21
Mélange jeunes épinards Attitude fraîche,Salades emballées,3.78,20956763_EA,None,2019-07-16 14:21
Roquette,Salades emballées,3.78,20956796_EA,None,2019-07-16 14:21
