description,prix,code,marque,date
Aneth Frais,1.98,20306289_EA,le Choix du Président,2019-06-28 22:16
Ciboulette,1.98,20316081_EA,le Choix du Président,2019-06-28 22:16
Persil italien,1.98,20139141001_EA,None,2019-06-28 22:16
Persil frisé,1.98,20015746001_EA,None,2019-06-28 22:16
Coriandre,1.98,20091825001_EA,None,2019-06-28 22:16
Basil,1.98,20299105_EA,le Choix du Président,2019-06-28 22:16
Romarin,1.98,20302329_EA,le Choix du Président,2019-06-28 22:16
Thym,1.98,20314580_EA,le Choix du Président,2019-06-28 22:16
Sauge,1.98,20304403_EA,le Choix du Président,2019-06-28 22:16
Menthe,1.98,20302008_EA,le Choix du Président,2019-06-28 22:16
Origan,1.98,20308318_EA,le Choix du Président,2019-06-28 22:16
Aneth en botte,2.98,20185183001_EA,None,2019-06-28 22:16
Pâte d’ail à ajouter,4.98,20136773_EA,Gourmet Garden,2019-06-28 22:16
Pâte de citronnelle à ajouter,4.98,20188546_EA,Gourmet Garden,2019-06-28 22:16
Piments légèrement séchés Gourmet Garden,4.98,21123462_EA,Gourmet Garden,2019-06-28 22:16
Coriandre en tube,4.98,20091560_EA,Gourmet Garden,2019-06-28 22:16
Bol de persil légèrement séché,4.98,21004586_EA,Gourmet Garden,2019-06-28 22:16
Basilic légèrement séché,4.98,21004692_EA,Gourmet Garden,2019-06-28 22:16
Coriandre légèrement séchée,4.98,21004700_EA,Gourmet Garden,2019-06-28 22:16
Herbes italiennes en tube,4.98,20006854_EA,Gourmet Garden,2019-06-28 22:16
Assaisonnement aux fines herbes,4.98,20104914_EA,None,2019-06-28 22:16
Basilic en tube,4.98,20009533_EA,Gourmet Garden,2019-06-28 22:16
Épinard,2.28,20959677_EA,le Choix du Président,2019-06-28 22:16
Poireaux tranchés,2.48,21005311_EA,None,2019-06-28 22:16
mélange de légumes,3.98,20186654_EA,le Choix du Président,2019-06-28 22:16
Légumes émiettés,3.98,21055170_EA,le Choix du Président,2019-06-28 22:16
fleurons de brocoli,3.98,20039812_EA,le Choix du Président,2019-06-28 22:16
Fleurons de chou-fleur,3.98,21125710_EA,le Choix du Président,2019-06-28 22:16
Légumes à Soupe,3.98,20135734_EA,None,2019-06-28 22:16
Courge musquée, en dés,3.98,20216614_EA,le Choix du Président,2019-06-28 22:16
Ananas évidé,4.0,20844433_EA,Del Monte,2019-06-28 22:16
Mélange de légumes, chou frisé,4.98,21095404_EA,le Choix du Président,2019-06-28 22:16
Bol de persil légèrement séché,4.98,21004586_EA,Gourmet Garden,2019-06-28 22:16
Basilic légèrement séché,4.98,21004692_EA,Gourmet Garden,2019-06-28 22:16
Coriandre légèrement séchée,4.98,21004700_EA,Gourmet Garden,2019-06-28 22:16
Plateau de légumes,10.0,21000971_EA,Del Monte,2019-06-28 22:16
Gingembre,0.82,20179038001_KG,None,2019-06-28 22:17
Ail,0.98,21004355001_EA,Rooster,2019-06-28 22:17
Ail à gros bulbe,1.1,20135581001_KG,None,2019-06-28 22:17
Lobok,2.03,20082109001_KG,None,2019-06-28 22:17
Manioc,2.52,20087682001_KG,None,2019-06-28 22:17
Bok choys de Shanghai,2.8,20032454001_KG,None,2019-06-28 22:17
Pois sucrés,2.98,21023553001_EA,None,2019-06-28 22:17
Pois sucrés,2.98,21023581001_EA,None,2019-06-28 22:17
Chou-chine,3.16,20015025001_KG,None,2019-06-28 22:17
Patates douces de Jamaïque,3.24,20130919001_KG,None,2019-06-28 22:17
Bébé bok choy shanghaïen,3.28,20073098001_KG,None,2019-06-28 22:17
Bébé bok choys,3.61,20082279001_KG,None,2019-06-28 22:17
Pois sucrés,3.98,20712998_EA,Mann’s,2019-06-28 22:17
