description,prix,code,marque,date
Coriandre,1.48,20091825001_EA,None,2019-07-14 23:03
Romarin,1.98,20302329_EA,le Choix du Président,2019-07-14 23:03
Persil italien,1.98,20139141001_EA,None,2019-07-14 23:03
Basil,1.98,20299105_EA,le Choix du Président,2019-07-14 23:03
Ciboulette,1.98,20316081_EA,le Choix du Président,2019-07-14 23:03
Sauge,1.98,20304403_EA,le Choix du Président,2019-07-14 23:03
Aneth Frais,1.98,20306289_EA,le Choix du Président,2019-07-14 23:03
Persil frisé,1.98,20015746001_EA,None,2019-07-14 23:03
Menthe,1.98,20302008_EA,le Choix du Président,2019-07-14 23:03
Piments légèrement séchés Gourmet Garden,4.98,21123462_EA,Gourmet Garden,2019-07-14 23:03
Pâte d’ail à ajouter,4.98,20136773_EA,Gourmet Garden,2019-07-14 23:03
Pâte de citronnelle à ajouter,4.98,20188546_EA,Gourmet Garden,2019-07-14 23:03
Bol de persil légèrement séché,4.98,21004586_EA,Gourmet Garden,2019-07-14 23:03
Herbes italiennes en tube,4.98,20006854_EA,Gourmet Garden,2019-07-14 23:03
Basilic en tube,4.98,20009533_EA,Gourmet Garden,2019-07-14 23:03
Coriandre légèrement séchée,4.98,21004700_EA,Gourmet Garden,2019-07-14 23:03
Assaisonnement aux fines herbes,4.98,20104914_EA,None,2019-07-14 23:03
Pâte de persil à ajouter,4.98,20183271_EA,Gourmet Garden,2019-07-14 23:03
Gingembre Légèrement Séché,4.98,21004691_EA,Gourmet Garden,2019-07-14 23:03
Épinard,2.28,20959677_EA,le Choix du Président,2019-07-14 23:03
Poireaux tranchés,2.48,21005311_EA,None,2019-07-14 23:03
Légumes à Soupe,3.98,20135734_EA,None,2019-07-14 23:03
Fleurons de chou-fleur,3.98,21125710_EA,le Choix du Président,2019-07-14 23:03
Courge musquée, en dés,3.98,20216614_EA,le Choix du Président,2019-07-14 23:03
Légumes émiettés,3.98,21055170_EA,le Choix du Président,2019-07-14 23:03
Patates douces,3.98,20216819_EA,le Choix du Président,2019-07-14 23:03
mélange de légumes,3.98,20186654_EA,le Choix du Président,2019-07-14 23:03
Couper les légumes pour la sauce spaghetti,3.98,20140682_EA,None,2019-07-14 23:03
Bol de persil légèrement séché,4.98,21004586_EA,Gourmet Garden,2019-07-14 23:03
Coriandre légèrement séchée,4.98,21004700_EA,Gourmet Garden,2019-07-14 23:03
Mélange de légumes, chou frisé,4.98,21095404_EA,le Choix du Président,2019-07-14 23:03
Gingembre Légèrement Séché,4.98,21004691_EA,Gourmet Garden,2019-07-14 23:03
Gingembre,0.92,20179038001_KG,None,2019-07-14 23:03
Ail,0.98,21004355001_EA,Rooster,2019-07-14 23:03
Aubergine longue,1.09,20159013001_KG,None,2019-07-14 23:03
Ail à gros bulbe,1.1,20135581001_KG,None,2019-07-14 23:03
Bok choy,1.73,20095057001_KG,None,2019-07-14 23:03
Courge-bouteille,2.05,20142055001_KG,None,2019-07-14 23:03
Manioc,2.22,20087682001_KG,None,2019-07-14 23:03
Chou-chine,2.42,20015025001_KG,None,2019-07-14 23:03
Lobok,2.65,20082109001_KG,None,2019-07-14 23:03
Pois sucrés,2.98,21023581001_EA,None,2019-07-14 23:03
Pois sucrés,2.98,21023553001_EA,None,2019-07-14 23:03
Patates douces de Jamaïque,3.24,20130919001_KG,None,2019-07-14 23:03
